PM2.5_ugm3,PM10_ugm3,CO_ppm,NO2_ppb,SO2_ppb,O3_ppb,hour,day_of_year,AQI,AQI_Category,Dominant_Pollutant
28.47,46.17,0.636,26.57,21.74,46.71,0,0,85,Moderate,PM2.5
23.75,37.31,0.761,28.08,21.42,52.36,1,0,76,Moderate,PM2.5
31.09,34.41,0.709,30.25,15.32,55.69,2,0,91,Moderate,PM2.5
39.76,67.61,0.979,40.98,22.9,67.74,3,0,111,Unhealthy for Sensitive Groups,PM2.5
27.88,58.97,1.379,26.53,12.55,79.91,4,0,132,Unhealthy for Sensitive Groups,O3
30.41,39.45,0.876,28.43,16.73,79.95,5,0,132,Unhealthy for Sensitive Groups,O3
47.63,98.32,1.5,52.37,10.0,90.18,6,0,162,Unhealthy,O3
43.86,84.8,1.059,38.48,27.79,80.61,7,0,135,Unhealthy for Sensitive Groups,O3
36.49,56.88,1.126,33.37,18.84,83.96,8,0,146,Unhealthy for Sensitive Groups,O3
46.77,82.48,1.7,43.63,30.83,81.63,9,0,138,Unhealthy for Sensitive Groups,O3
40.39,91.87,1.788,47.09,24.01,80.33,10,0,134,Unhealthy for Sensitive Groups,O3
41.42,83.35,1.803,67.14,22.24,94.09,11,0,172,Unhealthy,O3
47.44,85.49,1.165,61.25,17.07,82.26,12,0,140,Unhealthy for Sensitive Groups,O3
29.84,50.85,1.408,63.07,14.77,57.0,13,0,88,Moderate,PM2.5
30.29,55.45,1.759,58.59,22.61,64.37,14,0,89,Moderate,PM2.5
37.93,62.13,1.467,57.95,19.64,48.33,15,0,107,Unhealthy for Sensitive Groups,PM2.5
32.15,32.61,1.058,39.12,13.3,38.18,16,0,93,Moderate,PM2.5
40.23,96.92,1.431,41.12,12.42,23.93,17,0,113,Unhealthy for Sensitive Groups,PM2.5
27.74,51.79,0.986,30.1,15.21,43.74,18,0,84,Moderate,PM2.5
20.98,42.55,1.645,34.79,29.1,17.38,19,0,70,Moderate,PM2.5
41.48,73.96,1.483,40.84,31.07,29.48,20,0,116,Unhealthy for Sensitive Groups,PM2.5
25.77,37.56,1.127,32.86,21.02,21.56,21,0,80,Moderate,PM2.5
26.45,45.37,1.297,42.72,20.74,41.78,22,0,81,Moderate,PM2.5
13.46,10.0,0.872,16.99,18.32,35.44,23,0,54,Moderate,PM2.5
20.23,63.74,1.07,33.0,15.4,43.66,0,1,68,Moderate,PM2.5
25.83,31.68,1.296,15.93,26.94,51.23,1,1,80,Moderate,PM2.5
16.79,17.83,0.962,30.55,29.44,63.03,2,1,77,Moderate,O3
30.68,49.93,0.869,38.92,15.6,67.89,3,1,93,Moderate,O3
25.05,60.54,0.509,31.85,19.65,74.57,4,1,113,Unhealthy for Sensitive Groups,O3
30.06,54.28,1.082,42.41,17.82,76.03,5,1,500,Hazardous,PM10
30.31,39.72,1.447,30.4,17.97,70.23,6,1,500,Hazardous,O3
52.67,109.85,1.577,26.47,26.0,77.79,7,1,143,Unhealthy for Sensitive Groups,PM2.5
40.28,81.28,1.531,51.57,13.51,97.18,8,1,180,Unhealthy,O3
34.11,67.86,1.292,65.93,22.4,85.92,9,1,500,Hazardous,O3
50.83,100.07,0.919,40.43,23.71,79.34,10,1,139,Unhealthy for Sensitive Groups,PM2.5
35.53,92.69,1.399,63.81,19.36,67.16,11,1,101,Unhealthy for Sensitive Groups,PM2.5
47.33,111.41,1.469,52.43,24.53,57.8,12,1,130,Unhealthy for Sensitive Groups,PM2.5
29.62,45.08,1.454,38.23,20.81,60.73,13,1,88,Moderate,PM2.5
33.62,80.0,1.697,39.08,26.15,68.88,14,1,96,Moderate,PM2.5
44.15,84.06,2.05,48.64,12.46,46.66,15,1,122,Unhealthy for Sensitive Groups,PM2.5
46.3,89.32,1.417,41.96,18.32,49.0,16,1,128,Unhealthy for Sensitive Groups,PM2.5
39.22,50.29,1.228,29.98,19.71,32.76,17,1,110,Unhealthy for Sensitive Groups,PM2.5
34.2,59.51,1.122,23.06,6.71,40.41,18,1,97,Moderate,PM2.5
29.98,44.22,1.144,28.43,14.64,27.5,19,1,89,Moderate,PM2.5
18.02,42.38,0.772,35.94,16.0,17.68,20,1,63,Moderate,PM2.5
21.91,52.29,0.982,31.45,24.81,28.33,21,1,72,Moderate,PM2.5
22.31,15.27,1.023,24.6,16.53,52.36,22,1,72,Moderate,PM2.5
33.4,59.86,0.915,30.43,15.98,56.69,23,1,96,Moderate,PM2.5
27.42,62.81,0.977,38.4,24.23,49.87,0,2,83,Moderate,PM2.5
10.92,17.42,0.982,32.35,12.05,50.86,1,2,47,Good,O3
28.68,60.37,0.357,28.39,9.78,63.04,2,2,86,Moderate,PM2.5
24.68,48.65,1.137,40.8,18.33,70.93,3,2,500,Hazardous,O3
24.54,48.27,0.819,24.4,12.9,74.6,4,2,114,Unhealthy for Sensitive Groups,O3
37.4,64.06,0.778,34.64,13.09,85.62,5,2,500,Hazardous,O3
43.49,63.68,0.869,37.99,23.0,88.06,6,2,156,Unhealthy,O3
45.43,68.31,1.423,30.74,24.52,85.82,7,2,500,Hazardous,O3
33.81,69.38,1.313,41.8,24.08,78.05,8,2,126,Unhealthy for Sensitive Groups,O3
40.24,72.67,0.95,27.74,25.68,84.38,9,2,148,Unhealthy for Sensitive Groups,O3
47.05,83.02,1.655,69.51,26.34,93.98,10,2,172,Unhealthy,O3
53.26,90.78,1.116,42.22,9.49,80.9,11,2,145,Unhealthy for Sensitive Groups,PM2.5
41.98,71.9,1.602,67.86,22.39,78.0,12,2,126,Unhealthy for Sensitive Groups,O3
43.97,91.7,1.619,51.97,17.49,64.93,13,2,122,Unhealthy for Sensitive Groups,PM2.5
35.55,59.96,1.777,56.04,16.4,49.4,14,2,101,Unhealthy for Sensitive Groups,PM2.5
33.15,43.57,1.989,43.6,22.94,49.85,15,2,95,Moderate,PM2.5
47.03,93.57,0.971,48.08,11.49,34.78,16,2,129,Unhealthy for Sensitive Groups,PM2.5
48.83,85.43,1.277,49.61,11.38,27.92,17,2,134,Unhealthy for Sensitive Groups,PM2.5
34.66,62.77,1.117,46.65,23.31,46.08,18,2,98,Moderate,PM2.5
40.53,92.25,1.237,44.64,22.58,26.82,19,2,113,Unhealthy for Sensitive Groups,PM2.5
32.85,58.88,1.085,30.32,20.82,22.59,20,2,95,Moderate,PM2.5
22.6,44.16,0.84,26.71,15.74,47.2,21,2,73,Moderate,PM2.5
28.98,38.01,0.756,13.67,23.86,42.17,22,2,86,Moderate,PM2.5
37.33,64.56,0.517,33.64,23.54,35.07,23,2,106,Unhealthy for Sensitive Groups,PM2.5
24.47,51.35,1.136,38.82,20.63,49.28,0,3,77,Moderate,PM2.5
37.63,49.07,0.99,44.57,14.32,49.88,1,3,106,Unhealthy for Sensitive Groups,PM2.5
5.22,11.8,1.164,32.66,18.08,53.07,2,3,49,Good,O3
34.44,63.19,0.852,23.85,24.4,72.51,3,3,106,Unhealthy for Sensitive Groups,O3
30.75,55.85,0.823,17.03,26.84,71.76,4,3,104,Unhealthy for Sensitive Groups,O3
30.22,66.85,0.783,47.31,18.57,81.97,5,3,139,Unhealthy for Sensitive Groups,O3
36.1,68.99,1.308,22.04,18.96,96.19,6,3,177,Unhealthy,O3
22.21,57.71,0.981,39.7,19.4,98.09,7,3,182,Unhealthy,O3
38.91,58.11,1.935,43.76,21.58,84.5,8,3,148,Unhealthy for Sensitive Groups,O3
45.72,83.93,1.062,47.79,17.3,93.84,9,3,171,Unhealthy,O3
56.37,102.48,1.594,50.75,5.74,74.7,10,3,151,Unhealthy,PM2.5
41.46,61.8,2.018,52.97,26.17,85.72,11,3,500,Hazardous,O3
39.5,82.58,1.74,27.85,29.18,76.48,12,3,120,Unhealthy for Sensitive Groups,O3
41.59,102.77,1.6,51.74,17.14,71.55,13,3,116,Unhealthy for Sensitive Groups,PM2.5
51.87,93.16,1.221,28.1,14.87,57.03,14,3,141,Unhealthy for Sensitive Groups,PM2.5
45.49,87.95,1.04,55.81,19.52,73.08,15,3,126,Unhealthy for Sensitive Groups,PM2.5
36.43,66.58,1.611,40.45,19.27,35.99,16,3,103,Unhealthy for Sensitive Groups,PM2.5
42.21,67.42,1.745,21.54,25.18,48.5,17,3,118,Unhealthy for Sensitive Groups,PM2.5
36.14,43.2,1.068,31.86,20.48,23.7,18,3,103,Unhealthy for Sensitive Groups,PM2.5
40.36,64.19,0.765,31.19,16.24,36.07,19,3,113,Unhealthy for Sensitive Groups,PM2.5
24.44,27.29,0.283,45.91,13.61,35.76,20,3,77,Moderate,PM2.5
25.24,65.88,0.651,33.48,24.53,31.57,21,3,79,Moderate,PM2.5
23.04,40.09,0.854,33.05,23.2,29.07,22,3,74,Moderate,PM2.5
13.41,19.98,1.332,40.22,25.51,40.2,23,3,54,Moderate,PM2.5
27.21,59.64,1.042,27.04,15.43,47.67,0,4,83,Moderate,PM2.5
27.29,35.66,0.944,35.95,29.47,70.13,1,4,500,Hazardous,O3
26.3,38.15,0.768,36.45,11.56,51.28,2,4,81,Moderate,PM2.5
26.08,47.76,0.77,18.65,23.82,62.21,3,4,80,Moderate,PM2.5
